price;month;coupon;Coupons pr year;Start_date;End_date;;;
100,021;1;0;1;02-02-2017;15-02-2017;;;
100,626;12;0;1;03-02-2017;15-12-2017;;;
101,397;24;0;1;04-02-2017;14-12-2018;;;
100,153;3;0;1;05-02-2017;12-04-2017;;;
102,142;36;0;1;06-02-2017;17-04-2020;;;
101,776;60;0;1;07-02-2017;08-04-2022;;;
100,411;6;0;1;08-02-2017;26-07-2017;;;
110,358;72;1,5;1;09-02-2017;15-02-2023;;;
103,233;96;0,5;1;10-02-2017;15-02-2025;;;
98,297;120;0,25;1;11-02-2017;15-02-2027;;;
164,471;180;5,5;1;12-02-2017;04-01-2031;;;
156,051;240;4;1;13-02-2017;04-01-2037;;;
133,147;360;2,5;1;14-02-2017;15-08-2046;;;
;;;;;;;;
;;;;;;;;
